
 The epoch is 10, average recall: 0.9483, average precision: 0.7432,average F1: 0.8333, average accuracy: 0.8136, average AUC: 0.9362
 The epoch is 20, average recall: 0.8966, average precision: 0.9123,average F1: 0.9043, average accuracy: 0.9068, average AUC: 0.9471
 The epoch is 30, average recall: 0.9138, average precision: 0.8983,average F1: 0.9060, average accuracy: 0.9068, average AUC: 0.9506
 The epoch is 40, average recall: 0.8966, average precision: 0.9123,average F1: 0.9043, average accuracy: 0.9068, average AUC: 0.9552
 The epoch is 50, average recall: 0.8621, average precision: 0.8772,average F1: 0.8696, average accuracy: 0.8729, average AUC: 0.9471
 The epoch is 60, average recall: 0.8966, average precision: 0.8667,average F1: 0.8814, average accuracy: 0.8814, average AUC: 0.9560
 The epoch is 70, average recall: 0.8621, average precision: 0.8929,average F1: 0.8772, average accuracy: 0.8814, average AUC: 0.9399
 The epoch is 80, average recall: 0.8793, average precision: 0.9107,average F1: 0.8947, average accuracy: 0.8983, average AUC: 0.9514
 The epoch is 90, average recall: 0.9138, average precision: 0.8983,average F1: 0.9060, average accuracy: 0.9068, average AUC: 0.9560
 The epoch is 100, average recall: 0.9138, average precision: 0.8983,average F1: 0.9060, average accuracy: 0.9068, average AUC: 0.9612
 The epoch is 110, average recall: 0.9138, average precision: 0.8689,average F1: 0.8908, average accuracy: 0.8898, average AUC: 0.9589
 The epoch is 120, average recall: 0.8793, average precision: 0.9107,average F1: 0.8947, average accuracy: 0.8983, average AUC: 0.9560
 The epoch is 130, average recall: 0.8966, average precision: 0.9123,average F1: 0.9043, average accuracy: 0.9068, average AUC: 0.9443
 The epoch is 140, average recall: 0.8966, average precision: 0.8387,average F1: 0.8667, average accuracy: 0.8644, average AUC: 0.9466
 The epoch is 150, average recall: 0.9138, average precision: 0.8030,average F1: 0.8548, average accuracy: 0.8475, average AUC: 0.9431
 The epoch is 160, average recall: 0.8793, average precision: 0.8947,average F1: 0.8870, average accuracy: 0.8898, average AUC: 0.9428
 The epoch is 170, average recall: 0.8966, average precision: 0.8966,average F1: 0.8966, average accuracy: 0.8983, average AUC: 0.9480
 The epoch is 180, average recall: 0.9310, average precision: 0.9000,average F1: 0.9153, average accuracy: 0.9153, average AUC: 0.9569
 The epoch is 190, average recall: 0.9310, average precision: 0.8852,average F1: 0.9076, average accuracy: 0.9068, average AUC: 0.9549
 The epoch is 200, average recall: 0.8966, average precision: 0.8966,average F1: 0.8966, average accuracy: 0.8983, average AUC: 0.9537
