

 loss 0.345, Acc@1 86.441


 loss 0.335, Acc@1 85.593


 loss 0.346, Acc@1 83.051


 loss 0.337, Acc@1 88.983


 loss 0.333, Acc@1 86.441


 loss 0.345, Acc@1 84.746


 loss 0.354, Acc@1 83.051


 loss 0.377, Acc@1 81.356


 loss 0.379, Acc@1 82.203


 loss 0.369, Acc@1 85.593


 loss 0.359, Acc@1 85.593


 loss 0.342, Acc@1 85.593


 loss 0.341, Acc@1 85.593


 loss 0.333, Acc@1 84.746


 loss 0.335, Acc@1 86.441


 loss 0.328, Acc@1 85.593


 loss 0.325, Acc@1 86.441


 loss 0.320, Acc@1 88.136


 loss 0.319, Acc@1 88.136


 loss 0.317, Acc@1 84.746


 loss 0.308, Acc@1 86.441


 loss 0.302, Acc@1 87.288


 loss 0.335, Acc@1 85.593


 loss 0.327, Acc@1 88.136


 loss 0.325, Acc@1 87.288


 loss 0.306, Acc@1 87.288


 loss 0.312, Acc@1 88.136


 loss 0.280, Acc@1 89.831


 loss 0.297, Acc@1 88.983


 loss 0.319, Acc@1 86.441


 loss 0.299, Acc@1 88.136


 loss 0.318, Acc@1 86.441


 loss 0.310, Acc@1 87.288


 loss 0.326, Acc@1 86.441


 loss 0.356, Acc@1 83.898


 loss 0.378, Acc@1 83.051


 loss 0.338, Acc@1 85.593


 loss 0.324, Acc@1 86.441


 loss 0.307, Acc@1 88.136


 loss 0.341, Acc@1 85.593


 loss 0.331, Acc@1 86.441


 loss 0.312, Acc@1 88.136


 loss 0.307, Acc@1 89.831


 loss 0.306, Acc@1 88.136


 loss 0.313, Acc@1 86.441


 loss 0.305, Acc@1 88.136


 loss 0.303, Acc@1 86.441


 loss 0.330, Acc@1 86.441


 loss 0.321, Acc@1 86.441


 loss 0.324, Acc@1 88.983


 loss 0.357, Acc@1 83.898


 loss 0.303, Acc@1 86.441


 loss 0.312, Acc@1 86.441


 loss 0.307, Acc@1 87.288


 loss 0.315, Acc@1 87.288


 loss 0.290, Acc@1 88.136


 loss 0.299, Acc@1 88.136


 loss 0.302, Acc@1 86.441


 loss 0.351, Acc@1 85.593


 loss 0.333, Acc@1 85.593


 loss 0.337, Acc@1 84.746


 loss 0.325, Acc@1 86.441


 loss 0.330, Acc@1 86.441


 loss 0.325, Acc@1 85.593


 loss 0.331, Acc@1 85.593


 loss 0.331, Acc@1 84.746


 loss 0.323, Acc@1 83.898


 loss 0.332, Acc@1 85.593


