
 The epoch is 520, average recall: 0.8448, average precision: 0.7656,average F1: 0.8033, average accuracy: 0.7966, average AUC: 0.8931
 The epoch is 530, average recall: 0.8621, average precision: 0.7812,average F1: 0.8197, average accuracy: 0.8136, average AUC: 0.8989
 The epoch is 540, average recall: 0.7931, average precision: 0.8070,average F1: 0.8000, average accuracy: 0.8051, average AUC: 0.8991
 The epoch is 550, average recall: 0.8276, average precision: 0.7742,average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.9089
 The epoch is 560, average recall: 0.8103, average precision: 0.8246,average F1: 0.8174, average accuracy: 0.8220, average AUC: 0.9187
 The epoch is 570, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.8986
 The epoch is 580, average recall: 0.8966, average precision: 0.8000,average F1: 0.8455, average accuracy: 0.8390, average AUC: 0.9124
 The epoch is 590, average recall: 0.8793, average precision: 0.7969,average F1: 0.8361, average accuracy: 0.8305, average AUC: 0.9003
 The epoch is 600, average recall: 0.8793, average precision: 0.7846,average F1: 0.8293, average accuracy: 0.8220, average AUC: 0.9095
 The epoch is 610, average recall: 0.8966, average precision: 0.7647,average F1: 0.8254, average accuracy: 0.8136, average AUC: 0.8986
 The epoch is 620, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8888
 The epoch is 630, average recall: 0.8966, average precision: 0.7647,average F1: 0.8254, average accuracy: 0.8136, average AUC: 0.8793
 The epoch is 640, average recall: 0.8448, average precision: 0.7424,average F1: 0.7903, average accuracy: 0.7797, average AUC: 0.8871
 The epoch is 650, average recall: 0.8103, average precision: 0.8393,average F1: 0.8246, average accuracy: 0.8305, average AUC: 0.8828
 The epoch is 660, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8687
 The epoch is 670, average recall: 0.8448, average precision: 0.7656,average F1: 0.8033, average accuracy: 0.7966, average AUC: 0.8730
 The epoch is 680, average recall: 0.7241, average precision: 0.7119,average F1: 0.7179, average accuracy: 0.7203, average AUC: 0.8284
 The epoch is 690, average recall: 0.7931, average precision: 0.7541,average F1: 0.7731, average accuracy: 0.7712, average AUC: 0.8480
 The epoch is 700, average recall: 0.7414, average precision: 0.7963,average F1: 0.7679, average accuracy: 0.7797, average AUC: 0.8632
 The epoch is 710, average recall: 0.8793, average precision: 0.7846,average F1: 0.8293, average accuracy: 0.8220, average AUC: 0.9049
 The epoch is 720, average recall: 0.8621, average precision: 0.8065,average F1: 0.8333, average accuracy: 0.8305, average AUC: 0.8889
 The epoch is 730, average recall: 0.8448, average precision: 0.8033,average F1: 0.8235, average accuracy: 0.8220, average AUC: 0.8899
 The epoch is 740, average recall: 0.8276, average precision: 0.7164,average F1: 0.7680, average accuracy: 0.7542, average AUC: 0.8925
 The epoch is 750, average recall: 0.8621, average precision: 0.7937,average F1: 0.8264, average accuracy: 0.8220, average AUC: 0.8885
