
 The epoch is 520, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.9069
 The epoch is 530, average recall: 0.8793, average precision: 0.7183,average F1: 0.7907, average accuracy: 0.7712, average AUC: 0.8994
 The epoch is 540, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8951
 The epoch is 550, average recall: 0.8448, average precision: 0.8033,average F1: 0.8235, average accuracy: 0.8220, average AUC: 0.9115
 The epoch is 560, average recall: 0.8966, average precision: 0.8000,average F1: 0.8455, average accuracy: 0.8390, average AUC: 0.9149
 The epoch is 570, average recall: 0.8966, average precision: 0.8125,average F1: 0.8525, average accuracy: 0.8475, average AUC: 0.9270
 The epoch is 580, average recall: 0.8793, average precision: 0.7391,average F1: 0.8031, average accuracy: 0.7881, average AUC: 0.9164
 The epoch is 590, average recall: 0.8448, average precision: 0.7903,average F1: 0.8167, average accuracy: 0.8136, average AUC: 0.9029
 The epoch is 600, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.8931
 The epoch is 610, average recall: 0.9138, average precision: 0.7162,average F1: 0.8030, average accuracy: 0.7797, average AUC: 0.9132
 The epoch is 620, average recall: 0.8966, average precision: 0.7879,average F1: 0.8387, average accuracy: 0.8305, average AUC: 0.9287
 The epoch is 630, average recall: 0.8448, average precision: 0.7424,average F1: 0.7903, average accuracy: 0.7797, average AUC: 0.8997
 The epoch is 640, average recall: 0.8621, average precision: 0.7576,average F1: 0.8065, average accuracy: 0.7966, average AUC: 0.9000
 The epoch is 650, average recall: 0.8793, average precision: 0.7391,average F1: 0.8031, average accuracy: 0.7881, average AUC: 0.8839
 The epoch is 660, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8899
 The epoch is 670, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.9103
 The epoch is 680, average recall: 0.8448, average precision: 0.7424,average F1: 0.7903, average accuracy: 0.7797, average AUC: 0.8945
 The epoch is 690, average recall: 0.8621, average precision: 0.7143,average F1: 0.7813, average accuracy: 0.7627, average AUC: 0.8931
 The epoch is 700, average recall: 0.8276, average precision: 0.7619,average F1: 0.7934, average accuracy: 0.7881, average AUC: 0.8876
 The epoch is 710, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8756
 The epoch is 720, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.9121
 The epoch is 730, average recall: 0.9138, average precision: 0.7571,average F1: 0.8281, average accuracy: 0.8136, average AUC: 0.9063
 The epoch is 740, average recall: 0.9310, average precision: 0.7397,average F1: 0.8244, average accuracy: 0.8051, average AUC: 0.9195
 The epoch is 750, average recall: 0.9310, average precision: 0.7606,average F1: 0.8372, average accuracy: 0.8220, average AUC: 0.9210
 The epoch is 760, average recall: 0.9138, average precision: 0.8030,average F1: 0.8548, average accuracy: 0.8475, average AUC: 0.9138
 The epoch is 770, average recall: 0.9138, average precision: 0.7681,average F1: 0.8346, average accuracy: 0.8220, average AUC: 0.9213
 The epoch is 780, average recall: 0.9138, average precision: 0.6974,average F1: 0.7910, average accuracy: 0.7627, average AUC: 0.9023
 The epoch is 790, average recall: 0.8966, average precision: 0.7324,average F1: 0.8062, average accuracy: 0.7881, average AUC: 0.9037
 The epoch is 800, average recall: 0.8621, average precision: 0.7143,average F1: 0.7813, average accuracy: 0.7627, average AUC: 0.9034
 The epoch is 810, average recall: 0.8966, average precision: 0.7027,average F1: 0.7879, average accuracy: 0.7627, average AUC: 0.9040
 The epoch is 820, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.9135
 The epoch is 830, average recall: 0.8966, average precision: 0.7324,average F1: 0.8062, average accuracy: 0.7881, average AUC: 0.9253
 The epoch is 840, average recall: 0.9138, average precision: 0.7910,average F1: 0.8480, average accuracy: 0.8390, average AUC: 0.9270
 The epoch is 850, average recall: 0.9310, average precision: 0.7606,average F1: 0.8372, average accuracy: 0.8220, average AUC: 0.9310
 The epoch is 860, average recall: 0.8966, average precision: 0.7536,average F1: 0.8189, average accuracy: 0.8051, average AUC: 0.9187
 The epoch is 870, average recall: 0.8966, average precision: 0.7761,average F1: 0.8320, average accuracy: 0.8220, average AUC: 0.9247
 The epoch is 880, average recall: 0.8793, average precision: 0.7727,average F1: 0.8226, average accuracy: 0.8136, average AUC: 0.9236
 The epoch is 890, average recall: 0.8966, average precision: 0.7027,average F1: 0.7879, average accuracy: 0.7627, average AUC: 0.9138
 The epoch is 900, average recall: 0.8793, average precision: 0.7612,average F1: 0.8160, average accuracy: 0.8051, average AUC: 0.9302
 The epoch is 910, average recall: 0.8448, average precision: 0.7903,average F1: 0.8167, average accuracy: 0.8136, average AUC: 0.9190
 The epoch is 920, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.9103
 The epoch is 930, average recall: 0.8621, average precision: 0.7576,average F1: 0.8065, average accuracy: 0.7966, average AUC: 0.8968
 The epoch is 940, average recall: 0.8621, average precision: 0.7353,average F1: 0.7937, average accuracy: 0.7797, average AUC: 0.9106
 The epoch is 950, average recall: 0.8966, average precision: 0.7027,average F1: 0.7879, average accuracy: 0.7627, average AUC: 0.9109
 The epoch is 960, average recall: 0.8448, average precision: 0.7313,average F1: 0.7840, average accuracy: 0.7712, average AUC: 0.9112
 The epoch is 970, average recall: 0.8448, average precision: 0.7313,average F1: 0.7840, average accuracy: 0.7712, average AUC: 0.9066
 The epoch is 980, average recall: 0.8103, average precision: 0.7705,average F1: 0.7899, average accuracy: 0.7881, average AUC: 0.8897
 The epoch is 990, average recall: 0.8448, average precision: 0.7903,average F1: 0.8167, average accuracy: 0.8136, average AUC: 0.9152
 The epoch is 1000, average recall: 0.8621, average precision: 0.7576,average F1: 0.8065, average accuracy: 0.7966, average AUC: 0.9040
